1 :  []
1796 :  [2, 2, 449]
1797 :  [3, 599]
1798 :  [2, 29, 31]
1799 :  [7, 257]
1800 :  [2, 2, 2, 3, 3, 5, 5]
1801 :  [1801]
1802 :  [2, 17, 53]
1803 :  [3, 601]
1804 :  [2, 2, 11, 41]
1805 :  [5, 19, 19]
1806 :  [2, 3, 7, 43]
1807 :  [13, 139]
1808 :  [2, 2, 2, 2, 113]
1809 :  [3, 3, 3, 67]
1810 :  [2, 5, 181]
1811 :  [1811]
1812 :  [2, 2, 3, 151]
1813 :  [7, 7, 37]
1814 :  [2, 907]
1815 :  [3, 5, 11, 11]
1816 :  [2, 2, 2, 227]
1817 :  [23, 79]
1818 :  [2, 3, 3, 101]
1819 :  [17, 107]
1820 :  [2, 2, 5, 7, 13]
1821 :  [3, 607]
1822 :  [2, 911]
1823 :  [1823]
1824 :  [2, 2, 2, 2, 2, 3, 19]
1825 :  [5, 5, 73]
1826 :  [2, 11, 83]
1827 :  [3, 3, 7, 29]
1828 :  [2, 2, 457]
1829 :  [31, 59]
1830 :  [2, 3, 5, 61]
1831 :  [1831]
1832 :  [2, 2, 2, 229]
1833 :  [3, 13, 47]
1834 :  [2, 7, 131]
1835 :  [5, 367]
1836 :  [2, 2, 3, 3, 3, 17]
1837 :  [11, 167]
1838 :  [2, 919]
1839 :  [3, 613]
1840 :  [2, 2, 2, 2, 5, 23]
1841 :  [7, 263]
1842 :  [2, 3, 307]
1843 :  [19, 97]
1844 :  [2, 2, 461]
1845 :  [3, 3, 5, 41]
1846 :  [2, 13, 71]
1847 :  [1847]
1848 :  [2, 2, 2, 3, 7, 11]
1849 :  [43, 43]
1850 :  [2, 5, 5, 37]
1851 :  [3, 617]
1852 :  [2, 2, 463]
1853 :  [17, 109]
1854 :  [2, 3, 3, 103]
1855 :  [5, 7, 53]
1856 :  [2, 2, 2, 2, 2, 2, 29]
1857 :  [3, 619]
1858 :  [2, 929]
1859 :  [11, 13, 13]
1860 :  [2, 2, 3, 5, 31]
1861 :  [1861]
1862 :  [2, 7, 7, 19]
1863 :  [3, 3, 3, 3, 23]
1864 :  [2, 2, 2, 233]
1865 :  [5, 373]
1866 :  [2, 3, 311]
1867 :  [1867]
1868 :  [2, 2, 467]
1869 :  [3, 7, 89]
1870 :  [2, 5, 11, 17]
1871 :  [1871]
1872 :  [2, 2, 2, 2, 3, 3, 13]
1873 :  [1873]
1874 :  [2, 937]
1875 :  [3, 5, 5, 5, 5]
1876 :  [2, 2, 7, 67]
1877 :  [1877]
1878 :  [2, 3, 313]
1879 :  [1879]
1880 :  [2, 2, 2, 5, 47]
1881 :  [3, 3, 11, 19]
1882 :  [2, 941]
1883 :  [7, 269]
1884 :  [2, 2, 3, 157]
1885 :  [5, 13, 29]
1886 :  [2, 23, 41]
1887 :  [3, 17, 37]
1888 :  [2, 2, 2, 2, 2, 59]
1889 :  [1889]
1890 :  [2, 3, 3, 3, 5, 7]
1891 :  [31, 61]
1892 :  [2, 2, 11, 43]
1893 :  [3, 631]
1894 :  [2, 947]
1895 :  [5, 379]
1896 :  [2, 2, 2, 3, 79]
1897 :  [7, 271]
1898 :  [2, 13, 73]
1899 :  [3, 3, 211]
1900 :  [2, 2, 5, 5, 19]
1901 :  [1901]
1902 :  [2, 3, 317]
1903 :  [11, 173]
1904 :  [2, 2, 2, 2, 7, 17]
1905 :  [3, 5, 127]
1906 :  [2, 953]
1907 :  [1907]
1908 :  [2, 2, 3, 3, 53]
1909 :  [23, 83]
1910 :  [2, 5, 191]
1911 :  [3, 7, 7, 13]
1912 :  [2, 2, 2, 239]
1913 :  [1913]
1914 :  [2, 3, 11, 29]
1915 :  [5, 383]
1916 :  [2, 2, 479]
1917 :  [3, 3, 3, 71]
1918 :  [2, 7, 137]
1919 :  [19, 101]
1920 :  [2, 2, 2, 2, 2, 2, 2, 3, 5]
1921 :  [17, 113]
1922 :  [2, 31, 31]
1923 :  [3, 641]
1924 :  [2, 2, 13, 37]
1925 :  [5, 5, 7, 11]
1926 :  [2, 3, 3, 107]
1927 :  [41, 47]
1928 :  [2, 2, 2, 241]
1929 :  [3, 643]
1930 :  [2, 5, 193]
1931 :  [1931]
1932 :  [2, 2, 3, 7, 23]
1933 :  [1933]
1934 :  [2, 967]
1935 :  [3, 3, 5, 43]
1936 :  [2, 2, 2, 2, 11, 11]
1937 :  [13, 149]
1938 :  [2, 3, 17, 19]
1939 :  [7, 277]
1940 :  [2, 2, 5, 97]
1941 :  [3, 647]
1942 :  [2, 971]
1943 :  [29, 67]
1944 :  [2, 2, 2, 3, 3, 3, 3, 3]
1945 :  [5, 389]
1946 :  [2, 7, 139]
1947 :  [3, 11, 59]
1948 :  [2, 2, 487]
1949 :  [1949]
1950 :  [2, 3, 5, 5, 13]
1951 :  [1951]
1952 :  [2, 2, 2, 2, 2, 61]
1953 :  [3, 3, 7, 31]
1954 :  [2, 977]
1955 :  [5, 17, 23]
1956 :  [2, 2, 3, 163]
1957 :  [19, 103]
1958 :  [2, 11, 89]
1959 :  [3, 653]
1960 :  [2, 2, 2, 5, 7, 7]
1961 :  [37, 53]
1962 :  [2, 3, 3, 109]
1963 :  [13, 151]
1964 :  [2, 2, 491]
1965 :  [3, 5, 131]
1966 :  [2, 983]
1967 :  [7, 281]
1968 :  [2, 2, 2, 2, 3, 41]
1969 :  [11, 179]
1970 :  [2, 5, 197]
1971 :  [3, 3, 3, 73]
1972 :  [2, 2, 17, 29]
1973 :  [1973]
1974 :  [2, 3, 7, 47]
1975 :  [5, 5, 79]
1976 :  [2, 2, 2, 13, 19]
1977 :  [3, 659]
1978 :  [2, 23, 43]
1979 :  [1979]
1980 :  [2, 2, 3, 3, 5, 11]
1981 :  [7, 283]
1982 :  [2, 991]
1983 :  [3, 661]
1984 :  [2, 2, 2, 2, 2, 2, 31]
1985 :  [5, 397]
1986 :  [2, 3, 331]
1987 :  [1987]
1988 :  [2, 2, 7, 71]
1989 :  [3, 3, 13, 17]
1990 :  [2, 5, 199]
1991 :  [11, 181]
1992 :  [2, 2, 2, 3, 83]
1993 :  [1993]
1994 :  [2, 997]
1995 :  [3, 5, 7, 19]
1996 :  [2, 2, 499]
1997 :  [1997]
1998 :  [2, 3, 3, 3, 37]
1999 :  [1999]
2000 :  [2, 2, 2, 2, 5, 5, 5]
2001 :  [3, 23, 29]
2002 :  [2, 7, 11, 13]
2003 :  [2003]
2004 :  [2, 2, 3, 167]
2005 :  [5, 401]
2006 :  [2, 17, 59]
2007 :  [3, 3, 223]
2008 :  [2, 2, 2, 251]
2009 :  [7, 7, 41]
2010 :  [2, 3, 5, 67]
2011 :  [2011]
2012 :  [2, 2, 503]
2013 :  [3, 11, 61]
2014 :  [2, 19, 53]
2015 :  [5, 13, 31]
2016 :  [2, 2, 2, 2, 2, 3, 3, 7]
2017 :  [2017]
2018 :  [2, 1009]
2019 :  [3, 673]
2020 :  [2, 2, 5, 101]
2021 :  [43, 47]
2022 :  [2, 3, 337]
2023 :  [7, 17, 17]
2024 :  [2, 2, 2, 11, 23]
2025 :  [3, 3, 3, 3, 5, 5]
2026 :  [2, 1013]
2027 :  [2027]
2028 :  [2, 2, 3, 13, 13]
2029 :  [2029]
2030 :  [2, 5, 7, 29]
2031 :  [3, 677]
2032 :  [2, 2, 2, 2, 127]
2033 :  [19, 107]
2034 :  [2, 3, 3, 113]
2035 :  [5, 11, 37]
2036 :  [2, 2, 509]
2037 :  [3, 7, 97]
2038 :  [2, 1019]
2039 :  [2039]
2040 :  [2, 2, 2, 3, 5, 17]
2041 :  [13, 157]
2042 :  [2, 1021]
2043 :  [3, 3, 227]
2044 :  [2, 2, 7, 73]
2045 :  [5, 409]
2046 :  [2, 3, 11, 31]
2047 :  [23, 89]
2048 :  [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]
2049 :  [3, 683]
2050 :  [2, 5, 5, 41]
2051 :  [7, 293]
2052 :  [2, 2, 3, 3, 3, 19]
2053 :  [2053]
2054 :  [2, 13, 79]
2055 :  [3, 5, 137]
2056 :  [2, 2, 2, 257]
2057 :  [11, 11, 17]
2058 :  [2, 3, 7, 7, 7]
2059 :  [29, 71]
2060 :  [2, 2, 5, 103]
2061 :  [3, 3, 229]
2062 :  [2, 1031]
2063 :  [2063]
2064 :  [2, 2, 2, 2, 3, 43]
2065 :  [5, 7, 59]
2066 :  [2, 1033]
2067 :  [3, 13, 53]
2068 :  [2, 2, 11, 47]
2069 :  [2069]
2070 :  [2, 3, 3, 5, 23]
2071 :  [19, 109]
2072 :  [2, 2, 2, 7, 37]
2073 :  [3, 691]
2074 :  [2, 17, 61]
2075 :  [5, 5, 83]
2076 :  [2, 2, 3, 173]
2077 :  [31, 67]
2078 :  [2, 1039]
2079 :  [3, 3, 3, 7, 11]
2080 :  [2, 2, 2, 2, 2, 5, 13]
2081 :  [2081]
2082 :  [2, 3, 347]
2083 :  [2083]
2084 :  [2, 2, 521]
2085 :  [3, 5, 139]
2086 :  [2, 7, 149]
2087 :  [2087]
2088 :  [2, 2, 2, 3, 3, 29]
2089 :  [2089]
2090 :  [2, 5, 11, 19]
2091 :  [3, 17, 41]
2092 :  [2, 2, 523]
2093 :  [7, 13, 23]
2094 :  [2, 3, 349]
2095 :  [5, 419]
2096 :  [2, 2, 2, 2, 131]
2097 :  [3, 3, 233]
2098 :  [2, 1049]
2099 :  [2099]
2100 :  [2, 2, 3, 5, 5, 7]
2101 :  [11, 191]
2102 :  [2, 1051]
2103 :  [3, 701]
2104 :  [2, 2, 2, 263]
2105 :  [5, 421]
2106 :  [2, 3, 3, 3, 3, 13]
2107 :  [7, 7, 43]
2108 :  [2, 2, 17, 31]
2109 :  [3, 19, 37]
2110 :  [2, 5, 211]
2111 :  [2111]
2112 :  [2, 2, 2, 2, 2, 2, 3, 11]
2113 :  [2113]
2114 :  [2, 7, 151]
2115 :  [3, 3, 5, 47]
2116 :  [2, 2, 23, 23]
2117 :  [29, 73]
2118 :  [2, 3, 353]
2119 :  [13, 163]
2120 :  [2, 2, 2, 5, 53]
2121 :  [3, 7, 101]
2122 :  [2, 1061]
2123 :  [11, 193]
2124 :  [2, 2, 3, 3, 59]
2125 :  [5, 5, 5, 17]
2126 :  [2, 1063]
2127 :  [3, 709]
2128 :  [2, 2, 2, 2, 7, 19]
2129 :  [2129]
2130 :  [2, 3, 5, 71]
2131 :  [2131]
2132 :  [2, 2, 13, 41]
2133 :  [3, 3, 3, 79]
2134 :  [2, 11, 97]
2135 :  [5, 7, 61]
2136 :  [2, 2, 2, 3, 89]
2137 :  [2137]
2138 :  [2, 1069]
2139 :  [3, 23, 31]
2140 :  [2, 2, 5, 107]
2141 :  [2141]
2142 :  [2, 3, 3, 7, 17]
2143 :  [2143]
2144 :  [2, 2, 2, 2, 2, 67]
2145 :  [3, 5, 11, 13]
2146 :  [2, 29, 37]
2147 :  [19, 113]
2148 :  [2, 2, 3, 179]
2149 :  [7, 307]
2150 :  [2, 5, 5, 43]
2151 :  [3, 3, 239]
2152 :  [2, 2, 2, 269]
2153 :  [2153]
2154 :  [2, 3, 359]
2155 :  [5, 431]
2156 :  [2, 2, 7, 7, 11]
2157 :  [3, 719]
2158 :  [2, 13, 83]
2159 :  [17, 127]
2160 :  [2, 2, 2, 2, 3, 3, 3, 5]
2161 :  [2161]
2162 :  [2, 23, 47]
2163 :  [3, 7, 103]
2164 :  [2, 2, 541]
2165 :  [5, 433]
2166 :  [2, 3, 19, 19]
2167 :  [11, 197]
2168 :  [2, 2, 2, 271]
2169 :  [3, 3, 241]
2170 :  [2, 5, 7, 31]
2171 :  [13, 167]
2172 :  [2, 2, 3, 181]
2173 :  [41, 53]
2174 :  [2, 1087]
2175 :  [3, 5, 5, 29]
2176 :  [2, 2, 2, 2, 2, 2, 2, 17]
2177 :  [7, 311]
2178 :  [2, 3, 3, 11, 11]
2179 :  [2179]
2180 :  [2, 2, 5, 109]
2181 :  [3, 727]
2182 :  [2, 1091]
2183 :  [37, 59]
2184 :  [2, 2, 2, 3, 7, 13]
2185 :  [5, 19, 23]
2186 :  [2, 1093]
2187 :  [3, 3, 3, 3, 3, 3, 3]
2188 :  [2, 2, 547]
2189 :  [11, 199]
2190 :  [2, 3, 5, 73]
2191 :  [7, 313]
2192 :  [2, 2, 2, 2, 137]
2193 :  [3, 17, 43]
2194 :  [2, 1097]
2195 :  [5, 439]
2196 :  [2, 2, 3, 3, 61]
2197 :  [13, 13, 13]
2198 :  [2, 7, 157]
2199 :  [3, 733]
2200 :  [2, 2, 2, 5, 5, 11]
2201 :  [31, 71]
2202 :  [2, 3, 367]
2203 :  [2203]
2204 :  [2, 2, 19, 29]
2205 :  [3, 3, 5, 7, 7]
2206 :  [2, 1103]
2207 :  [2207]
2208 :  [2, 2, 2, 2, 2, 3, 23]
2209 :  [47, 47]
2210 :  [2, 5, 13, 17]
2211 :  [3, 11, 67]
2212 :  [2, 2, 7, 79]
2213 :  [2213]
2214 :  [2, 3, 3, 3, 41]
2215 :  [5, 443]
2216 :  [2, 2, 2, 277]
2217 :  [3, 739]
2218 :  [2, 1109]
2219 :  [7, 317]
2220 :  [2, 2, 3, 5, 37]
2221 :  [2221]
2222 :  [2, 11, 101]
2223 :  [3, 3, 13, 19]
2224 :  [2, 2, 2, 2, 139]
2225 :  [5, 5, 89]
2226 :  [2, 3, 7, 53]
2227 :  [17, 131]
2228 :  [2, 2, 557]
2229 :  [3, 743]
2230 :  [2, 5, 223]
2231 :  [23, 97]
2232 :  [2, 2, 2, 3, 3, 31]
2233 :  [7, 11, 29]
2234 :  [2, 1117]
2235 :  [3, 5, 149]
2236 :  [2, 2, 13, 43]
2237 :  [2237]
2238 :  [2, 3, 373]
2239 :  [2239]
2240 :  [2, 2, 2, 2, 2, 2, 5, 7]
2241 :  [3, 3, 3, 83]
2242 :  [2, 19, 59]
2243 :  [2243]
2244 :  [2, 2, 3, 11, 17]
2245 :  [5, 449]
2246 :  [2, 1123]
2247 :  [3, 7, 107]
2248 :  [2, 2, 2, 281]
2249 :  [13, 173]
2250 :  [2, 3, 3, 5, 5, 5]
2251 :  [2251]
2252 :  [2, 2, 563]
2253 :  [3, 751]
2254 :  [2, 7, 7, 23]
2255 :  [5, 11, 41]
2256 :  [2, 2, 2, 2, 3, 47]
2257 :  [37, 61]
2258 :  [2, 1129]
2259 :  [3, 3, 251]
2260 :  [2, 2, 5, 113]
2261 :  [7, 17, 19]
2262 :  [2, 3, 13, 29]
2263 :  [31, 73]
2264 :  [2, 2, 2, 283]
2265 :  [3, 5, 151]
2266 :  [2, 11, 103]
2267 :  [2267]
2268 :  [2, 2, 3, 3, 3, 3, 7]
2269 :  [2269]
2270 :  [2, 5, 227]
2271 :  [3, 757]
2272 :  [2, 2, 2, 2, 2, 71]
2273 :  [2273]
2274 :  [2, 3, 379]
2275 :  [5, 5, 7, 13]
2276 :  [2, 2, 569]
2277 :  [3, 3, 11, 23]
2278 :  [2, 17, 67]
2279 :  [43, 53]
2280 :  [2, 2, 2, 3, 5, 19]
2281 :  [2281]
2282 :  [2, 7, 163]
2283 :  [3, 761]
2284 :  [2, 2, 571]
2285 :  [5, 457]
2286 :  [2, 3, 3, 127]
2287 :  [2287]
2288 :  [2, 2, 2, 2, 11, 13]
2289 :  [3, 7, 109]
2290 :  [2, 5, 229]
2291 :  [29, 79]
2292 :  [2, 2, 3, 191]
2293 :  [2293]
2294 :  [2, 31, 37]
2295 :  [3, 3, 3, 5, 17]
2296 :  [2, 2, 2, 7, 41]
2297 :  [2297]
2298 :  [2, 3, 383]
2299 :  [11, 11, 19]
2300 :  [2, 2, 5, 5, 23]
2301 :  [3, 13, 59]
2302 :  [2, 1151]
2303 :  [7, 7, 47]
2304 :  [2, 2, 2, 2, 2, 2, 2, 2, 3, 3]
2305 :  [5, 461]
2306 :  [2, 1153]
2307 :  [3, 769]
2308 :  [2, 2, 577]
2309 :  [2309]
2310 :  [2, 3, 5, 7, 11]
2311 :  [2311]
2312 :  [2, 2, 2, 17, 17]
2313 :  [3, 3, 257]
2314 :  [2, 13, 89]
2315 :  [5, 463]
2316 :  [2, 2, 3, 193]
2317 :  [7, 331]
2318 :  [2, 19, 61]
2319 :  [3, 773]
2320 :  [2, 2, 2, 2, 5, 29]
2321 :  [11, 211]
2322 :  [2, 3, 3, 3, 43]
2323 :  [23, 101]
2324 :  [2, 2, 7, 83]
2325 :  [3, 5, 5, 31]
2326 :  [2, 1163]
2327 :  [13, 179]
2328 :  [2, 2, 2, 3, 97]
2329 :  [17, 137]
2330 :  [2, 5, 233]
2331 :  [3, 3, 7, 37]
2332 :  [2, 2, 11, 53]
2333 :  [2333]
2334 :  [2, 3, 389]
2335 :  [5, 467]
2336 :  [2, 2, 2, 2, 2, 73]
2337 :  [3, 19, 41]
2338 :  [2, 7, 167]
2339 :  [2339]
2340 :  [2, 2, 3, 3, 5, 13]
2341 :  [2341]
2342 :  [2, 1171]
2343 :  [3, 11, 71]
2344 :  [2, 2, 2, 293]
2345 :  [5, 7, 67]
2346 :  [2, 3, 17, 23]
2347 :  [2347]
2348 :  [2, 2, 587]
2349 :  [3, 3, 3, 3, 29]
2350 :  [2, 5, 5, 47]
2351 :  [2351]
2352 :  [2, 2, 2, 2, 3, 7, 7]
2353 :  [13, 181]
2354 :  [2, 11, 107]
2355 :  [3, 5, 157]
2356 :  [2, 2, 19, 31]
2357 :  [2357]
2358 :  [2, 3, 3, 131]
2359 :  [7, 337]
2360 :  [2, 2, 2, 5, 59]
2361 :  [3, 787]
2362 :  [2, 1181]
2363 :  [17, 139]
2364 :  [2, 2, 3, 197]
2365 :  [5, 11, 43]
2366 :  [2, 7, 13, 13]
2367 :  [3, 3, 263]
2368 :  [2, 2, 2, 2, 2, 2, 37]
2369 :  [23, 103]
2370 :  [2, 3, 5, 79]
2371 :  [2371]
2372 :  [2, 2, 593]
2373 :  [3, 7, 113]
2374 :  [2, 1187]
2375 :  [5, 5, 5, 19]
2376 :  [2, 2, 2, 3, 3, 3, 11]
2377 :  [2377]
2378 :  [2, 29, 41]
2379 :  [3, 13, 61]
Your code too pretty:  2380  numbers were prime factored.
1 :  []
2 :  [2]
3 :  [3]
4 :  [2, 2]
5 :  [5]
6 :  [2, 3]
7 :  [7]
8 :  [2, 2, 2]
9 :  [3, 3]
10 :  [2, 5]
11 :  [11]
12 :  [2, 2, 3]
13 :  [13]
14 :  [2, 7]
15 :  [3, 5]
16 :  [2, 2, 2, 2]
17 :  [17]
18 :  [2, 3, 3]
19 :  [19]
20 :  [2, 2, 5]
21 :  [3, 7]
22 :  [2, 11]
23 :  [23]
24 :  [2, 2, 2, 3]
25 :  [5, 5]
26 :  [2, 13]
27 :  [3, 3, 3]
28 :  [2, 2, 7]
29 :  [29]
30 :  [2, 3, 5]
31 :  [31]
32 :  [2, 2, 2, 2, 2]
33 :  [3, 11]
34 :  [2, 17]
35 :  [5, 7]
36 :  [2, 2, 3, 3]
37 :  [37]
38 :  [2, 19]
39 :  [3, 13]
40 :  [2, 2, 2, 5]
41 :  [41]
42 :  [2, 3, 7]
43 :  [43]
44 :  [2, 2, 11]
45 :  [3, 3, 5]
46 :  [2, 23]
47 :  [47]
48 :  [2, 2, 2, 2, 3]
49 :  [7, 7]
50 :  [2, 5, 5]
51 :  [3, 17]
52 :  [2, 2, 13]
53 :  [53]
54 :  [2, 3, 3, 3]
55 :  [5, 11]
56 :  [2, 2, 2, 7]
57 :  [3, 19]
58 :  [2, 29]
59 :  [59]
60 :  [2, 2, 3, 5]
61 :  [61]
62 :  [2, 31]
63 :  [3, 3, 7]
64 :  [2, 2, 2, 2, 2, 2]
65 :  [5, 13]
66 :  [2, 3, 11]
67 :  [67]
68 :  [2, 2, 17]
69 :  [3, 23]
70 :  [2, 5, 7]
71 :  [71]
72 :  [2, 2, 2, 3, 3]
73 :  [73]
74 :  [2, 37]
75 :  [3, 5, 5]
76 :  [2, 2, 19]
77 :  [7, 11]
78 :  [2, 3, 13]
79 :  [79]
80 :  [2, 2, 2, 2, 5]
81 :  [3, 3, 3, 3]
82 :  [2, 41]
83 :  [83]
84 :  [2, 2, 3, 7]
85 :  [5, 17]
86 :  [2, 43]
87 :  [3, 29]
88 :  [2, 2, 2, 11]
89 :  [89]
90 :  [2, 3, 3, 5]
91 :  [7, 13]
92 :  [2, 2, 23]
93 :  [3, 31]
94 :  [2, 47]
95 :  [5, 19]
96 :  [2, 2, 2, 2, 2, 3]
97 :  [97]
98 :  [2, 7, 7]
99 :  [3, 3, 11]
100 :  [2, 2, 5, 5]
101 :  [101]
102 :  [2, 3, 17]
103 :  [103]
104 :  [2, 2, 2, 13]
105 :  [3, 5, 7]
106 :  [2, 53]
107 :  [107]
108 :  [2, 2, 3, 3, 3]
109 :  [109]
110 :  [2, 5, 11]
111 :  [3, 37]
112 :  [2, 2, 2, 2, 7]
113 :  [113]
114 :  [2, 3, 19]
115 :  [5, 23]
116 :  [2, 2, 29]
117 :  [3, 3, 13]
118 :  [2, 59]
119 :  [7, 17]
120 :  [2, 2, 2, 3, 5]
121 :  [11, 11]
122 :  [2, 61]
123 :  [3, 41]
124 :  [2, 2, 31]
125 :  [5, 5, 5]
126 :  [2, 3, 3, 7]
127 :  [127]
128 :  [2, 2, 2, 2, 2, 2, 2]
129 :  [3, 43]
130 :  [2, 5, 13]
131 :  [131]
132 :  [2, 2, 3, 11]
133 :  [7, 19]
134 :  [2, 67]
135 :  [3, 3, 3, 5]
136 :  [2, 2, 2, 17]
137 :  [137]
138 :  [2, 3, 23]
139 :  [139]
140 :  [2, 2, 5, 7]
141 :  [3, 47]
142 :  [2, 71]
143 :  [11, 13]
144 :  [2, 2, 2, 2, 3, 3]
145 :  [5, 29]
146 :  [2, 73]
147 :  [3, 7, 7]
148 :  [2, 2, 37]
149 :  [149]
150 :  [2, 3, 5, 5]
151 :  [151]
152 :  [2, 2, 2, 19]
153 :  [3, 3, 17]
154 :  [2, 7, 11]
155 :  [5, 31]
156 :  [2, 2, 3, 13]
157 :  [157]
158 :  [2, 79]
159 :  [3, 53]
160 :  [2, 2, 2, 2, 2, 5]
161 :  [7, 23]
162 :  [2, 3, 3, 3, 3]
163 :  [163]
164 :  [2, 2, 41]
165 :  [3, 5, 11]
166 :  [2, 83]
167 :  [167]
168 :  [2, 2, 2, 3, 7]
169 :  [13, 13]
170 :  [2, 5, 17]
171 :  [3, 3, 19]
172 :  [2, 2, 43]
173 :  [173]
174 :  [2, 3, 29]
175 :  [5, 5, 7]
176 :  [2, 2, 2, 2, 11]
177 :  [3, 59]
178 :  [2, 89]
179 :  [179]
180 :  [2, 2, 3, 3, 5]
181 :  [181]
182 :  [2, 7, 13]
183 :  [3, 61]
184 :  [2, 2, 2, 23]
185 :  [5, 37]
186 :  [2, 3, 31]
187 :  [11, 17]
188 :  [2, 2, 47]
189 :  [3, 3, 3, 7]
190 :  [2, 5, 19]
191 :  [191]
192 :  [2, 2, 2, 2, 2, 2, 3]
193 :  [193]
194 :  [2, 97]
195 :  [3, 5, 13]
196 :  [2, 2, 7, 7]
197 :  [197]
198 :  [2, 3, 3, 11]
199 :  [199]
200 :  [2, 2, 2, 5, 5]
201 :  [3, 67]
202 :  [2, 101]
203 :  [7, 29]
204 :  [2, 2, 3, 17]
205 :  [5, 41]
206 :  [2, 103]
207 :  [3, 3, 23]
208 :  [2, 2, 2, 2, 13]
209 :  [11, 19]
210 :  [2, 3, 5, 7]
211 :  [211]
212 :  [2, 2, 53]
213 :  [3, 71]
214 :  [2, 107]
215 :  [5, 43]
216 :  [2, 2, 2, 3, 3, 3]
217 :  [7, 31]
218 :  [2, 109]
219 :  [3, 73]
220 :  [2, 2, 5, 11]
221 :  [13, 17]
222 :  [2, 3, 37]
223 :  [223]
224 :  [2, 2, 2, 2, 2, 7]
225 :  [3, 3, 5, 5]
226 :  [2, 113]
227 :  [227]
228 :  [2, 2, 3, 19]
229 :  [229]
230 :  [2, 5, 23]
231 :  [3, 7, 11]
232 :  [2, 2, 2, 29]
233 :  [233]
234 :  [2, 3, 3, 13]
235 :  [5, 47]
236 :  [2, 2, 59]
237 :  [3, 79]
238 :  [2, 7, 17]
239 :  [239]
240 :  [2, 2, 2, 2, 3, 5]
241 :  [241]
242 :  [2, 11, 11]
243 :  [3, 3, 3, 3, 3]
244 :  [2, 2, 61]
245 :  [5, 7, 7]
246 :  [2, 3, 41]
247 :  [13, 19]
248 :  [2, 2, 2, 31]
249 :  [3, 83]
250 :  [2, 5, 5, 5]
251 :  [251]
252 :  [2, 2, 3, 3, 7]
253 :  [11, 23]
254 :  [2, 127]
255 :  [3, 5, 17]
256 :  [2, 2, 2, 2, 2, 2, 2, 2]
257 :  [257]
258 :  [2, 3, 43]
259 :  [7, 37]
260 :  [2, 2, 5, 13]
261 :  [3, 3, 29]
262 :  [2, 131]
263 :  [263]
264 :  [2, 2, 2, 3, 11]
265 :  [5, 53]
266 :  [2, 7, 19]
267 :  [3, 89]
268 :  [2, 2, 67]
269 :  [269]
270 :  [2, 3, 3, 3, 5]
271 :  [271]
272 :  [2, 2, 2, 2, 17]
273 :  [3, 7, 13]
274 :  [2, 137]
275 :  [5, 5, 11]
276 :  [2, 2, 3, 23]
277 :  [277]
278 :  [2, 139]
279 :  [3, 3, 31]
280 :  [2, 2, 2, 5, 7]
281 :  [281]
282 :  [2, 3, 47]
283 :  [283]
284 :  [2, 2, 71]
285 :  [3, 5, 19]
286 :  [2, 11, 13]
287 :  [7, 41]
288 :  [2, 2, 2, 2, 2, 3, 3]
289 :  [17, 17]
290 :  [2, 5, 29]
291 :  [3, 97]
292 :  [2, 2, 73]
293 :  [293]
294 :  [2, 3, 7, 7]
295 :  [5, 59]
296 :  [2, 2, 2, 37]
297 :  [3, 3, 3, 11]
298 :  [2, 149]
299 :  [13, 23]
300 :  [2, 2, 3, 5, 5]
301 :  [7, 43]
302 :  [2, 151]
303 :  [3, 101]
304 :  [2, 2, 2, 2, 19]
305 :  [5, 61]
306 :  [2, 3, 3, 17]
307 :  [307]
308 :  [2, 2, 7, 11]
309 :  [3, 103]
310 :  [2, 5, 31]
311 :  [311]
312 :  [2, 2, 2, 3, 13]
313 :  [313]
314 :  [2, 157]
315 :  [3, 3, 5, 7]
316 :  [2, 2, 79]
317 :  [317]
318 :  [2, 3, 53]
319 :  [11, 29]
320 :  [2, 2, 2, 2, 2, 2, 5]
321 :  [3, 107]
322 :  [2, 7, 23]
323 :  [17, 19]
324 :  [2, 2, 3, 3, 3, 3]
325 :  [5, 5, 13]
326 :  [2, 163]
327 :  [3, 109]
328 :  [2, 2, 2, 41]
329 :  [7, 47]
330 :  [2, 3, 5, 11]
331 :  [331]
332 :  [2, 2, 83]
333 :  [3, 3, 37]
334 :  [2, 167]
335 :  [5, 67]
336 :  [2, 2, 2, 2, 3, 7]
337 :  [337]
338 :  [2, 13, 13]
339 :  [3, 113]
340 :  [2, 2, 5, 17]
341 :  [11, 31]
342 :  [2, 3, 3, 19]
343 :  [7, 7, 7]
344 :  [2, 2, 2, 43]
345 :  [3, 5, 23]
346 :  [2, 173]
347 :  [347]
348 :  [2, 2, 3, 29]
349 :  [349]
350 :  [2, 5, 5, 7]
351 :  [3, 3, 3, 13]
352 :  [2, 2, 2, 2, 2, 11]
353 :  [353]
354 :  [2, 3, 59]
355 :  [5, 71]
356 :  [2, 2, 89]
357 :  [3, 7, 17]
358 :  [2, 179]
359 :  [359]
360 :  [2, 2, 2, 3, 3, 5]
361 :  [19, 19]
362 :  [2, 181]
363 :  [3, 11, 11]
364 :  [2, 2, 7, 13]
365 :  [5, 73]
366 :  [2, 3, 61]
367 :  [367]
368 :  [2, 2, 2, 2, 23]
369 :  [3, 3, 41]
370 :  [2, 5, 37]
371 :  [7, 53]
